name: 🇬🇧GB-82.38.31.194-0089 | type: ss | id: 117 | remarks: 🇺🇸US-198.98.53.130-0229 | protocol: ss | ping: 51 MS | avg_speed: 171.48 MB | max_speed: 138.659 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTplRGZON1NPRFFjZUlPbUlBYnRKSnRL@198.98.53.130:443#%F0%9F%87%BA%F0%9F%87%B8US-198.98.53.130-0229
name: 🇬🇧GB-82.38.31.192-0071 | type: ss | id: 726 | remarks: 🇺🇸US-108.181.0.177-1730 | protocol: ss | ping: 52 MS | avg_speed: 76.909 MB | max_speed: 99.514 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpHNXA2d3c0bzY3SEI=@108.181.0.177:8388#%F0%9F%87%BA%F0%9F%87%B8US-108.181.0.177-1730
name: 🇬🇧GB-82.38.31.202-0097 | type: ss | id: 135 | remarks: 🇬🇧GB-82.38.31.190-0251 | protocol: ss | ping: 166 MS | avg_speed: 74.676 MB | max_speed: 176.785 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTprMWRCT21PQjRvcWk3VW1wMzdhMWJR@82.38.31.190:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.190-0251
name: 🇬🇧GB-82.38.31.10-0080 | type: ss | id: 187 | remarks: 🇺🇸US-173.244.56.9-0321 | protocol: ss | ping: 93 MS | avg_speed: 74.174 MB | max_speed: 87.157 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@173.244.56.9:443#%F0%9F%87%BA%F0%9F%87%B8US-173.244.56.9-0321
name: 🇬🇧GB-82.38.31.205-0087 | type: ss | id: 737 | remarks: 🇬🇧GB-82.38.31.206-1855 | protocol: ss | ping: 128 MS | avg_speed: 73.819 MB | max_speed: 175.218 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTprMWRCT21PQjRvcWk3VW1wMzdhMWJR@82.38.31.206:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.206-1855
name: 🇳🇱NL-193.29.139.147-0086 | type: ss | id: 91 | remarks: 🇳🇱NL-193.29.139.168-0187 | protocol: ss | ping: 142 MS | avg_speed: 73.772 MB | max_speed: 171.143 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpRQ1hEeHVEbFRUTUQ3anRnSFVqSW9q@193.29.139.168:8080#%F0%9F%87%B3%F0%9F%87%B1NL-193.29.139.168-0187
name: 🇬🇧GB-82.38.31.62-0082 | type: ss | id: 136 | remarks: 🇬🇧GB-82.38.31.192-0253 | protocol: ss | ping: 134 MS | avg_speed: 73.282 MB | max_speed: 174.734 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTprMWRCT21PQjRvcWk3VW1wMzdhMWJR@82.38.31.192:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.192-0253
name: 🇬🇧GB-82.38.31.34-0078 | type: ss | id: 473 | remarks: 🇳🇱NL-193.29.139.234-1079 | protocol: ss | ping: 127 MS | avg_speed: 72.433 MB | max_speed: 175.863 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTo0YTJyZml4b3BoZGpmZmE4S1ZBNEFh@193.29.139.234:8080#%F0%9F%87%B3%F0%9F%87%B1NL-193.29.139.234-1079
name: 🇬🇧GB-82.38.31.82-0077 | type: ss | id: 518 | remarks: 🇬🇧GB-82.38.31.82-1180 | protocol: ss | ping: 130 MS | avg_speed: 72.14 MB | max_speed: 165.634 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@82.38.31.82:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.82-1180
name: 🇬🇧GB-82.38.31.155-0067 | type: ss | id: 482 | remarks: 🇬🇧GB-82.38.31.179-1102 | protocol: ss | ping: 128 MS | avg_speed: 71.96 MB | max_speed: 165.631 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTprMWRCT21PQjRvcWk3VW1wMzdhMWJR@82.38.31.179:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.179-1102
name: 🇬🇧GB-82.38.31.191-0100 | type: ss | id: 492 | remarks: 🇬🇧GB-82.38.31.155-1117 | protocol: ss | ping: 129 MS | avg_speed: 71.826 MB | max_speed: 165.199 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@82.38.31.155:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.155-1117
name: 🇬🇧GB-82.38.31.61-0094 | type: ss | id: 736 | remarks: 🇬🇧GB-82.38.31.190-1848 | protocol: ss | ping: 125 MS | avg_speed: 71.427 MB | max_speed: 163.386 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTprMWRCT21PQjRvcWk3VW1wMzdhMWJR@82.38.31.190:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.190-1848
name: 🇬🇧GB-82.38.31.214-0083 | type: ss | id: 514 | remarks: 🇬🇧GB-82.38.31.66-1173 | protocol: ss | ping: 124 MS | avg_speed: 71.252 MB | max_speed: 167.711 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@82.38.31.66:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.66-1173
name: 🇬🇧GB-82.38.31.2-0093 | type: ss | id: 523 | remarks: 🇬🇧GB-82.38.31.62-1185 | protocol: ss | ping: 130 MS | avg_speed: 71.252 MB | max_speed: 163.849 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@82.38.31.62:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.62-1185
name: 🇬🇧GB-82.38.31.179-0105 | type: ss | id: 508 | remarks: 🇬🇧GB-82.38.31.217-1157 | protocol: ss | ping: 130 MS | avg_speed: 71.098 MB | max_speed: 160.109 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTprMWRCT21PQjRvcWk3VW1wMzdhMWJR@82.38.31.217:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.217-1157
name: 🇬🇧GB-82.38.31.180-0081 | type: ss | id: 525 | remarks: 🇬🇧GB-82.38.31.174-1193 | protocol: ss | ping: 126 MS | avg_speed: 70.968 MB | max_speed: 160.015 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@82.38.31.174:443#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.174-1193
name: 🇬🇧GB-82.38.31.189-0084 | type: ss | id: 526 | remarks: 🇬🇧GB-82.38.31.49-1194 | protocol: ss | ping: 134 MS | avg_speed: 70.946 MB | max_speed: 164.444 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@82.38.31.49:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.49-1194
name: 🇬🇧GB-82.38.31.35-0075 | type: ss | id: 141 | remarks: 🇬🇧GB-82.38.31.206-0258 | protocol: ss | ping: 138 MS | avg_speed: 70.946 MB | max_speed: 158.296 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTprMWRCT21PQjRvcWk3VW1wMzdhMWJR@82.38.31.206:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.206-0258
name: 🇬🇧GB-82.38.31.174-0090 | type: ss | id: 522 | remarks: 🇬🇧GB-82.38.31.180-1184 | protocol: ss | ping: 139 MS | avg_speed: 70.364 MB | max_speed: 157.884 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTprMWRCT21PQjRvcWk3VW1wMzdhMWJR@82.38.31.180:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.180-1184
name: 🇳🇱NL-193.29.139.223-0061 | type: ss | id: 483 | remarks: 🇬🇧GB-82.38.31.186-1104 | protocol: ss | ping: 128 MS | avg_speed: 70.108 MB | max_speed: 154.485 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTprMWRCT21PQjRvcWk3VW1wMzdhMWJR@82.38.31.186:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.186-1104
